ENTE_SEGN,VOCESOTVOC,CLASSE_UTI,SETCON,DATA_OSSER,VALORE,STATUS,UNIT OF MEASUREMENT,SCALE
3691030,35120163,1004,4015,31/3/1998,0.433,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/1997,0.582,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/1997,0.403,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/1997,0.518,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/1997,0.45,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/12/1996,0.511,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/9/1996,0.424,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,30/6/1996,0.596,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,4015,31/3/1996,0.608,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2013,0.725,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2013,0.66,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2012,0.771,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2012,0.604,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2012,0.635,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2012,0.597,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2011,0.701,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2011,0.534,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2011,0.586,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2011,0.535,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2010,0.653,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2010,0.553,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2010,0.622,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2010,0.584,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2009,0.635,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2009,0.494,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2009,0.555,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2009,0.264,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2008,0.358,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2008,0.285,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2008,0.314,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2008,0.309,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2007,0.367,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2007,0.292,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2007,0.352,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2007,0.334,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2006,0.385,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2006,0.321,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2006,0.365,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2006,0.398,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2005,0.388,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2005,0.332,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/6/2005,0.38,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/3/2005,0.326,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,31/12/2004,0.374,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,7006,30/9/2004,0.321,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
